tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
238,     554,  1401,    0  ,  1688, 1.21   ,  1483
242,     554,  1401,    0  ,  1688, 1.19   ,  1485
246,     552,  1402,    0  ,  1688, 1.18   ,  1485
250,     552,  1402,    0  ,  1688, 1.16   ,  1485
254,     552,  1402,    0  ,  1688, 1.15   ,  1485
258,     552,  1403,    0  ,  1688, 1.14   ,  1485
262,     552,  1403,    0  ,  1688, 1.12   ,  1485
266,     552,  1403,    0  ,  1688, 1.11   ,  1485
270,     552,  1403,    0  ,  1688, 1.10   ,  1485
274,     552,  1403,    0  ,  1688, 1.08   ,  1485
278,     552,  1403,    0  ,  1688, 1.07   ,  1485
282,     552,  1403,    0  ,  1688, 1.06   ,  1485
286,     552,  1403,    0  ,  1688, 1.05   ,  1485
290,     552,  1402,    0  ,  1688, 1.04   ,  1485
294,     552,  1402,    0  ,  1688, 1.03   ,  1485
298,     552,  1402,    0  ,  1688, 1.02   ,  1485
302,     552,  1402,    0  ,  1688, 1.00   ,  1485
307,     552,  1402,    0  ,  1688, 1.00   ,  1485
311,     552,  1402,    0  ,  1688, 0.98   ,  1485
315,     552,  1402,    0  ,  1688, 0.97   ,  1485
319,     552,  1402,    0  ,  1688, 0.96   ,  1485
323,     552,  1402,    0  ,  1688, 0.95   ,  1485
327,     552,  1402,    0  ,  1688, 0.94   ,  1485
331,     552,  1402,    0  ,  1688, 0.93   ,  1485
335,     552,  1402,    0  ,  1688, 0.92   ,  1485
339,     552,  1402,    0  ,  1688, 0.92   ,  1485
343,     552,  1402,    0  ,  1688, 0.91   ,  1485
347,     552,  1402,    0  ,  1688, 0.90   ,  1485
351,     552,  1402,    0  ,  1688, 0.89   ,  1485
355,     553,  1402,    0  ,  1688, 0.88   ,  1485
359,     553,  1402,    0  ,  1688, 0.87   ,  1485
363,     553,  1402,    0  ,  1688, 0.87   ,  1485
367,     552,  1402,    0  ,  1688, 0.86   ,  1486
371,     551,  1403,    0  ,  1688, 0.85   ,  1486
375,     551,  1403,    0  ,  1688, 0.85   ,  1486
379,     551,  1403,    0  ,  1688, 0.84   ,  1486
383,     551,  1403,    0  ,  1688, 0.83   ,  1486
387,     551,  1403,    0  ,  1688, 0.82   ,  1486
391,     551,  1403,    0  ,  1688, 0.82   ,  1486
395,     551,  1403,    0  ,  1688, 0.81   ,  1486
399,     551,  1403,    0  ,  1688, 0.80   ,  1486
403,     551,  1403,    0  ,  1688, 0.80   ,  1486
407,     551,  1403,    0  ,  1688, 0.79   ,  1486
411,     551,  1403,    0  ,  1688, 0.79   ,  1486
415,     551,  1403,    0  ,  1688, 0.78   ,  1486
419,     551,  1403,    0  ,  1688, 0.77   ,  1486
423,     551,  1403,    0  ,  1688, 0.77   ,  1486
427,     551,  1403,    0  ,  1688, 0.76   ,  1486
431,     551,  1403,    0  ,  1688, 0.76   ,  1486
435,     551,  1403,    0  ,  1688, 0.75   ,  1486
439,     551,  1403,    0  ,  1688, 0.74   ,  1486
443,     551,  1403,    0  ,  1688, 0.74   ,  1486
447,     551,  1403,    0  ,  1688, 0.73   ,  1486
451,     551,  1403,    0  ,  1688, 0.73   ,  1486
455,     551,  1403,    0  ,  1688, 0.73   ,  1486
459,     551,  1403,    0  ,  1688, 0.72   ,  1486
463,     551,  1403,    0  ,  1688, 0.72   ,  1486
467,     551,  1403,    0  ,  1688, 0.71   ,  1486
471,     551,  1403,    0  ,  1688, 0.70   ,  1486
475,     551,  1403,    0  ,  1688, 0.70   ,  1486
479,     551,  1403,    0  ,  1688, 0.70   ,  1486
483,     551,  1403,    0  ,  1688, 0.69   ,  1486
487,     551,  1403,    0  ,  1688, 0.69   ,  1486
491,     551,  1403,    0  ,  1688, 0.68   ,  1486
496,     551,  1403,    0  ,  1688, 0.68   ,  1486
500,     551,  1403,    0  ,  1688, 0.68   ,  1486
504,     551,  1403,    0  ,  1688, 0.67   ,  1486
508,     551,  1403,    0  ,  1688, 0.67   ,  1486
512,     551,  1403,    0  ,  1688, 0.66   ,  1486
516,     551,  1403,    0  ,  1688, 0.66   ,  1486
520,     551,  1403,    0  ,  1688, 0.66   ,  1486
524,     551,  1403,    0  ,  1688, 0.65   ,  1486
528,     551,  1403,    0  ,  1688, 0.65   ,  1486
532,     551,  1403,    0  ,  1688, 0.65   ,  1486
536,     551,  1403,    0  ,  1688, 0.64   ,  1486
540,     551,  1403,    0  ,  1688, 0.64   ,  1486
544,     551,  1403,    0  ,  1688, 0.64   ,  1486
548,     551,  1403,    0  ,  1688, 0.63   ,  1486
552,     551,  1403,    0  ,  1688, 0.63   ,  1486
556,     551,  1403,    0  ,  1688, 0.63   ,  1486
560,     551,  1403,    0  ,  1688, 0.62   ,  1486
564,     551,  1403,    0  ,  1688, 0.62   ,  1486
568,     551,  1403,    0  ,  1688, 0.62   ,  1486
572,     551,  1403,    0  ,  1688, 0.62   ,  1486
576,     551,  1403,    0  ,  1688, 0.62   ,  1486
580,     551,  1403,    0  ,  1688, 0.61   ,  1486
584,     551,  1403,    0  ,  1688, 0.61   ,  1486
588,     551,  1403,    0  ,  1688, 0.61   ,  1486
592,     551,  1403,    0  ,  1688, 0.60   ,  1486
596,     551,  1403,    0  ,  1688, 0.60   ,  1486
tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,     584,  1366,    0  ,  1688, 0.58   ,  1453
4,     584,  1365,    0  ,  1688, 9.50   ,  1453
8,     584,  1364,    0  ,  1688, 4.39   ,  1453
12,     584,  1364,    0  ,  1688, 1.38   ,  1453
16,     584,  1364,    0  ,  1688, 9.43   ,  1453
20,     577,  1372,    0  ,  1688, 8.82   ,  1460
24,     569,  1379,    0  ,  1688, 7.80   ,  1468
28,     566,  1383,    0  ,  1688, 6.95   ,  1472
32,     566,  1383,    0  ,  1688, 6.25   ,  1472
36,     566,  1383,    0  ,  1688, 5.70   ,  1472
40,     564,  1385,    0  ,  1688, 5.25   ,  1474
44,     562,  1386,    0  ,  1688, 4.86   ,  1475
48,     562,  1387,    0  ,  1688, 4.53   ,  1477
52,     560,  1388,    0  ,  1688, 4.24   ,  1477
56,     560,  1388,    0  ,  1688, 3.97   ,  1477
60,     560,  1388,    0  ,  1688, 3.75   ,  1477
64,     560,  1388,    0  ,  1688, 3.55   ,  1477
